Occupational code,Occupation,TWC Target Occupation,Share of local jobs (%),Quality Index (-5 to 5),Demand Index (-5 to 5),Quality and demand quadrant,Absorption Index (-5 to 5),National Median Wage ($),Local Median Wage ($),Local Median Wage imputed from National Median Wage,Share with at least an associate's degree,Mid-term mobility score,Projected national growth 2019-2029 (%),Projected state-level growth 2018-2028 (%),Local Projections imputed from National Projections,Local job growth 2004-2019 (%),Current demand (postings)
353021,Food Service Workers,No,3.5284938108266446,-1.1314410519832867,5,Low quality - High demand,0.9308009698811446,10.93,9.75,FALSE,14.6,0.00206205401289417,9.21749974020575,20.16164263870686,FALSE,39.3055814540797,Declining
311010,Nursing and Home Health Aides,No,3.478386615374908,-1.241794543150294,5,Low quality - High demand,3.162207577244522,12.840579254947762,10.017448275862069,FALSE,20,-0.0118315366362056,25.00154891472709,3.6260220405261285,FALSE,16.50589905861828,Growing
436010,Administrative Assistants,No,3.3899135307912642,-0.8620946055495222,-0.8786660776265152,Low quality - Low demand,2.2890766052625167,19.16,14.110049019607843,FALSE,38.7,-0.00728757466662655,-9.127946756235616,-3.616684266103485,FALSE,6.538045033920459,Declining
412010,Cashiers,No,2.82046921955082,-1.5733493121155915,-1.0882102840985381,Low quality - Low demand,5,11.38,9.81,FALSE,19.4,-0.0448497149207308,-7.216746513685882,-3.2242540904716073,FALSE,4.628704816996464,Declining
439061,"Office Clerks, General",No,2.8121148891394614,0.10397650359755128,1.3196630104621392,High quality - High demand,1.5164553048282567,16.37,14.45,FALSE,36.4,0.0912021396842104,-4.832128284057555,0.6873879258816498,FALSE,5.100012388930306,Declining
412031,Retail Salespersons,No,2.7401250061490994,-0.23214148813691837,2.0234894978994546,Low quality - High demand,5,12.14,11.88,FALSE,36.4,0.0780936473860896,0.09689675395874703,4.1393091635740795,FALSE,0.608440201192443,Declining
533030,Delivery Truck Drivers,Yes,2.7146688210596186,-1.1476939362950542,5,Low quality - High demand,2.79187765713114,19.38,19.298445229681978,FALSE,12.6,-0.0820470910581057,4.700293136561204,8.645955451348183,FALSE,9.363654177150044,Growing
291141,Registered Nurses,Yes,2.1719116118448727,1.410353275608196,5,High quality - High demand,1.003531109408071,37.01958300601847,37.01958300601847,TRUE,94.56420169863392,0.0335778915173406,6.3059341869750885,6.010137581462708,FALSE,21.788111595171838,Growing
253000,Other Teachers,No,1.6699987578464175,0.9907812435216004,4.923238800776609,High quality - High demand,1.0822710050461728,15.93,15.93,TRUE,69.39999999999999,0.171531440064098,7.575367173408898,1.475796930342385,FALSE,39.43245711528179,Declining
252020,Primary School Teachers,Yes,1.5918444648501489,-0.0696951743682287,-2.8787096045870415,Low quality - Low demand,1.1819336429561733,28.6875,28.6875,TRUE,97.1,-0.0499001175447242,3.1046822236782607,0.6097560975609756,FALSE,-13.477622641487184,Stable
111020,General Managers,No,1.5890493113700395,0.7339838643012826,5,High quality - High demand,0.7633744635667918,48.45,35.12,FALSE,55.2,-0.0210377553405134,6.173190984578881,10.896403650026839,FALSE,44.55245087761205,Stable
37201X,Building Cleaners,No,1.564156591722867,-1.703797431490979,-0.07010272242677962,Low quality - Low demand,4.026769530854824,13.205267609539655,11.440000000000001,FALSE,12,-0.0726117356676959,4.024504381859966,2.9290853031860227,FALSE,-3.0937408030042017,Declining
353031,Waiters and Waitresses,No,1.4569648561858746,-0.8399798287977616,3.485457298977986,Low quality - High demand,5,11,8.96,FALSE,24.8,0.0394789423576798,3.5982008995502204,11.657709797436958,FALSE,3.1609735534423513,Declining
434051,Customer Service Rep.,No,1.368536536539124,-1.2857411034940815,5,Low quality - High demand,3.3944929243951054,16.69,13.51,FALSE,38.8,-0.0465859174934922,-1.4241598546775593,9.149040826364978,FALSE,77.53234043526001,Declining
4520XX,Other Agricultural Workers,No,1.343413493360454,-0.19002262912313583,-2.660073769891558,Low quality - Low demand,1.0122224190844025,12.647172533964987,12.683695652173913,FALSE,10,0.0755796458694515,1.1428571428571428,-11.720029784065526,FALSE,8.587035405976277,Declining
435081,Stock Clerks,No,1.2722928112466814,-1.191658846597523,3.685544327995669,Low quality - High demand,2.988812543332926,13.16,11.26,FALSE,19.3,-0.0172912024458163,0.803618690149669,4.828551434569629,FALSE,28.214483403380058,Declining
372012,House Cleaners,No,1.2715317028614286,-2.1836303948117854,-0.15033372196314101,Low quality - Low demand,2.177938038716116,11.95,9.64,FALSE,9.9,-0.107453299105904,0.8920250299560706,0.8920250299560706,TRUE,0.877824026309477,Declining
472061,Construction Laborers,No,1.215178565281015,-0.7528271735041956,5,Low quality - High demand,3.3765458570366818,17.72,14.25,FALSE,10.4,0.0029761507877839,8.535739070090209,10.501981505944517,FALSE,36.326145045953666,Growing
499071,General Repair Workers,No,1.1403013505868407,-0.23775268782797954,2.5456783881747267,Low quality - High demand,0.5931573787724808,18.79,15.93,FALSE,19.3,0.0425531607369738,4.219938818730877,9.654178674351584,FALSE,6.881685690703483,Declining
333010,Correctional Officers,No,1.0971599227337143,-0.5544816204516316,-2.668692307861407,Low quality - Low demand,-0.30809861620479373,21.78,21.78,TRUE,33.2,-0.0411841362885563,-7.2142546718817755,-7.2142546718817755,TRUE,-4.413256790759287,Declining
292061,Practical and Vocational Nurses,Yes,1.0412995386321233,0.037476984915688516,-1.6889246036060779,High quality - Low demand,0.5801604063693769,22.83,20.22,FALSE,21.6,0.0344257068278147,8.558758314855872,-1.4803849000740192,FALSE,-7.424420775038882,Growing
373010,Groundskeeping Workers,No,1.0000130982356212,-1.0599770736830785,2.124491074742628,Low quality - High demand,2.1077470303959185,14.85,12.07,FALSE,12.5,-0.0104568008113199,7.976366322008854,5.033881897386254,FALSE,17.927078587173355,Growing
433031,Accounting Clerks,No,0.996631085855382,-0.0016979562038024199,-2.395944976647909,Low quality - Low demand,0.9801118043589775,19.82,16.9,FALSE,31.2,0.0589644164707734,-5.359898975726118,0,FALSE,-15.456364648357795,Declining
259041,Teacher Assistants,No,0.9921385571708204,-1.3789677241759895,-1.3117167067926978,Low quality - Low demand,0.9312389295957789,26.523496581332484,26.523496581332484,TRUE,41.8,-0.168679491343871,5.295191722458928,0.5718370264474625,FALSE,-8.256101462558478,Stable
